Timestamp,Personas,Autos
2025-12-12 18:54:42,3,15
2025-12-12 18:54:43,3,19
2025-12-12 18:54:45,5,16
2025-12-12 18:54:48,6,18
2025-12-12 18:54:50,4,12
2025-12-12 18:54:51,3,18
2025-12-13 09:22:17,3,15
2025-12-13 09:22:18,3,19
2025-12-13 09:22:19,4,16
2025-12-13 09:22:20,5,16
2025-12-13 09:22:39,3,15
2025-12-13 09:22:40,3,19
2025-12-13 09:22:42,5,16
2025-12-13 09:22:43,6,18
2025-12-13 09:22:46,4,12
2025-12-13 09:22:48,4,15
2025-12-13 09:22:50,3,12
2025-12-13 09:22:51,5,12
2025-12-13 09:22:53,5,12
2025-12-13 09:22:54,4,11
2025-12-13 09:22:56,5,19
2025-12-13 09:22:57,5,20
2025-12-13 09:22:59,4,13
2025-12-13 09:23:01,3,18
2025-12-13 09:23:02,3,15
2025-12-13 09:23:04,3,15
2025-12-13 09:23:05,5,12
2025-12-13 09:23:06,5,12
2025-12-13 09:23:08,4,15
2025-12-13 09:23:10,5,12
2025-12-13 09:23:11,5,8
2025-12-13 09:23:13,5,11
2025-12-13 09:23:15,5,14
2025-12-13 09:23:17,4,15
2025-12-13 09:23:18,4,14
2025-12-13 09:23:20,6,17
2025-12-13 09:23:22,6,10
2025-12-13 09:23:23,5,11
2025-12-13 09:23:25,2,20
2025-12-13 09:23:27,6,10
2025-12-13 09:23:28,4,9
2025-12-13 09:23:30,5,8
2025-12-13 09:23:31,6,13
2025-12-13 09:23:33,7,12
2025-12-13 09:23:35,5,12
2025-12-13 09:23:37,5,15
2025-12-13 09:23:38,5,14
2025-12-13 09:23:39,4,10
2025-12-13 09:23:40,5,16
2025-12-13 09:23:42,6,19
2025-12-13 09:23:44,5,12
2025-12-13 09:23:45,4,12
2025-12-13 09:23:47,4,16
2025-12-13 09:23:48,3,16
2025-12-13 09:23:50,3,13
2025-12-13 09:23:52,3,20
2025-12-13 09:23:53,5,22
2025-12-13 09:23:55,4,15
2025-12-13 09:23:57,5,22
2025-12-13 09:23:58,4,12
2025-12-13 09:23:59,6,12
2025-12-13 09:24:01,4,12
2025-12-13 09:24:02,5,17
2025-12-13 09:24:03,5,13
2025-12-13 09:24:05,3,15
2025-12-13 09:24:07,3,14
2025-12-13 09:24:09,1,16
2025-12-13 09:24:10,2,15
